season,team,games_played,avg_points_for,avg_points_against,total_points_for,total_points_against,wins,losses,win_pct,point_diff,star_players,superstars,win_component,scoring_component,talent_component,power_score,expected_wins,pythagorean_wins
2021,GB,15,25.533333333333335,21.6,383.0,324.0,12,3,0.8,3.9333333333333336,3,0,6.000000000000001,1.9666666666666668,1.5,5.8,12.0,8.967627595120156
2021,HOU,15,16.533333333333335,26.733333333333334,248.0,401.0,4,11,0.26666666666666666,-10.2,1,0,-4.666666666666667,-5.1,0.5,-6.9,4.0,3.6379391545561326
2021,IND,15,28.0,21.066666666666666,420.0,316.0,9,6,0.6,6.933333333333334,2,0,1.9999999999999996,3.466666666666667,1.0,3.8,9.0,9.936961925430467
2021,JAX,15,14.466666666666667,26.4,217.0,396.0,2,13,0.13333333333333333,-11.933333333333332,0,0,-7.333333333333334,-5.966666666666666,0.0,-9.7,2.0,2.9067895447594787
2021,KC,15,28.066666666666666,20.4,421.0,306.0,11,4,0.7333333333333333,7.666666666666668,6,2,4.666666666666666,3.833333333333334,5.0,8.6,11.0,10.207736688495148
2021,LA,15,27.733333333333334,21.733333333333334,416.0,326.0,11,4,0.7333333333333333,6.0,4,2,4.666666666666666,3.0,4.0,7.3,11.0,9.608336950048917
2021,LAC,15,27.2,27.4,408.0,411.0,8,7,0.5333333333333333,-0.1999999999999993,3,2,0.6666666666666665,-0.09999999999999964,3.5,2.2,8.0,7.434891454329679
2021,LV,15,21.066666666666666,25.8,316.0,387.0,8,7,0.5333333333333333,-4.733333333333334,1,1,0.6666666666666665,-2.366666666666667,1.5,-0.8,8.0,5.7325157395013555
2021,MIA,15,20.333333333333332,21.0,305.0,315.0,8,7,0.5333333333333333,-0.6666666666666679,4,1,0.6666666666666665,-0.3333333333333339,3.0,1.7,8.0,7.2134211818109
2021,MIN,15,25.6,24.8,384.0,372.0,7,8,0.4666666666666667,0.8000000000000007,0,0,-0.6666666666666665,0.40000000000000036,0.0,-0.8,7.0,7.782033502551945
2021,NE,15,25.866666666666667,17.333333333333332,388.0,260.0,9,6,0.6,8.533333333333335,0,0,1.9999999999999996,4.2666666666666675,0.0,3.6,9.0,10.813007734230668
2021,NO,15,21.066666666666666,20.333333333333332,316.0,305.0,7,8,0.4666666666666667,0.7333333333333343,1,1,-0.6666666666666665,0.36666666666666714,1.5,0.2,7.0,7.8147031165038765
2021,NYG,15,16.533333333333335,24.333333333333332,248.0,365.0,4,11,0.26666666666666666,-7.799999999999997,2,1,-4.666666666666667,-3.8999999999999986,2.0,-5.1,4.0,4.28681681658598
2021,NYJ,15,18.4,29.933333333333334,276.0,449.0,4,11,0.26666666666666666,-11.533333333333335,2,1,-4.666666666666667,-5.7666666666666675,2.0,-6.4,4.0,3.5983184981197804
2021,PHI,15,26.533333333333335,21.2,398.0,318.0,8,7,0.5333333333333333,5.333333333333336,1,1,0.6666666666666665,2.666666666666668,1.5,2.7,8.0,9.448645603059346
2021,PIT,15,20.066666666666666,24.733333333333334,301.0,371.0,7,8,0.4666666666666667,-4.666666666666668,1,1,-0.6666666666666665,-2.333333333333334,1.5,-1.6,7.0,5.678813663985809
2021,SEA,15,20.4,20.466666666666665,306.0,307.0,5,10,0.3333333333333333,-0.06666666666666643,1,0,-3.333333333333334,-0.033333333333333215,0.5,-2.6,5.0,7.471003381398723
2021,SF,15,25.133333333333333,22.266666666666666,377.0,334.0,8,7,0.5333333333333333,2.866666666666667,1,1,0.6666666666666665,1.4333333333333336,1.5,1.8,8.0,8.568985115026216
2021,TB,15,29.466666666666665,20.8,442.0,312.0,11,4,0.7333333333333333,8.666666666666664,6,2,4.666666666666666,4.333333333333332,5.0,8.9,11.0,10.430997096925813
2021,TEN,15,23.8,21.733333333333334,357.0,326.0,10,5,0.6666666666666666,2.0666666666666664,2,2,3.3333333333333326,1.0333333333333332,3.0,4.4,10.0,8.304222471975455
2021,WAS,15,19.8,27.133333333333333,297.0,407.0,6,9,0.4,-7.333333333333332,0,0,-1.9999999999999996,-3.666666666666666,0.0,-4.5,6.0,4.822973987610143
2022,ARI,18,20.77777777777778,26.944444444444443,374.0,485.0,5,13,0.2777777777777778,-6.166666666666664,2,0,-4.444444444444445,-3.083333333333332,1.0,-5.1,5.0,6.312669969149033
2022,ATL,17,20.58823529411765,24.058823529411764,350.0,409.0,5,12,0.29411764705882354,-3.470588235294116,2,1,-4.117647058823529,-1.735294117647058,2.0,-3.2,5.0,6.948470109167003
2022,BAL,17,20.764705882352942,18.11764705882353,353.0,308.0,10,7,0.5882352941176471,2.647058823529413,3,1,1.7647058823529416,1.3235294117647065,2.5,3.2,10.0,9.861736831467402
2022,BUF,19,29.42105263157895,18.263157894736842,559.0,347.0,15,4,0.7894736842105263,11.157894736842106,8,2,5.7894736842105265,5.578947368421053,6.0,11.2,15.0,14.361200383638524
2022,CAR,17,20.0,23.294117647058822,340.0,396.0,6,11,0.35294117647058826,-3.2941176470588225,1,0,-2.9411764705882346,-1.6470588235294112,0.5,-3.4,6.0,6.980755409224433
2022,CHI,17,20.529411764705884,25.11764705882353,349.0,427.0,4,13,0.23529411764705882,-4.588235294117645,0,0,-5.294117647058823,-2.2941176470588225,0.0,-5.8,4.0,6.506085067487219
2022,CIN,21,25.38095238095238,20.952380952380953,533.0,440.0,15,6,0.7142857142857143,4.428571428571427,3,1,4.2857142857142865,2.2142857142857135,2.5,5.5,15.0,12.845580003615126
2022,CLE,17,21.058823529411764,22.647058823529413,358.0,385.0,7,10,0.4117647058823529,-1.5882352941176485,3,0,-1.7647058823529416,-0.7941176470588243,1.5,-1.3,7.0,7.769432002345965
2022,DAL,19,29.0,20.526315789473685,551.0,390.0,13,6,0.6842105263157895,8.473684210526315,4,1,3.68421052631579,4.2368421052631575,3.0,6.8,13.0,13.186632927579264
2022,DEN,17,15.823529411764707,21.529411764705884,269.0,366.0,4,13,0.23529411764705882,-5.7058823529411775,0,0,-5.294117647058823,-2.8529411764705888,0.0,-6.2,4.0,5.529149655224724
2022,DET,17,26.941176470588236,28.352941176470587,458.0,482.0,8,9,0.47058823529411764,-1.4117647058823515,2,1,-0.5882352941176472,-0.7058823529411757,2.0,-0.1,8.0,7.9861750175175334
2022,GB,18,21.666666666666668,21.88888888888889,390.0,394.0,8,10,0.4444444444444444,-0.22222222222222143,0,0,-1.1111111111111116,-0.11111111111111072,0.0,-1.4,8.0,8.891177828853188
2022,HOU,17,16.823529411764707,24.058823529411764,286.0,409.0,2,15,0.11764705882352941,-7.235294117647058,0,0,-7.647058823529411,-3.617647058823529,0.0,-8.3,2.0,5.098192093153428
2022,IND,17,16.41176470588235,23.88235294117647,279.0,406.0,5,12,0.29411764705882354,-7.4705882352941195,1,0,-4.117647058823529,-3.7352941176470598,0.5,-5.6,5.0,4.9520774564546315
2022,JAX,17,22.88235294117647,23.058823529411764,389.0,392.0,8,9,0.47058823529411764,-0.1764705882352935,1,1,-0.5882352941176472,-0.08823529411764675,1.5,-0.1,8.0,8.422620195000599
2022,KC,20,30.25,23.7,605.0,474.0,15,5,0.75,6.550000000000001,6,3,5.0,3.2750000000000004,6.0,9.1,15.0,12.813661406683583
